Designator,Mid X,Mid Y,Rotation,Layer
D1,125.0,-116.0,90.0,top
D2,127.5,-116.0,90.0,top
D3,130.0,-116.0,90.0,top
D4,132.5,-116.0,90.0,top
D5,135.0,-116.0,90.0,top
D6,137.5,-116.0,90.0,top
D7,140.0,-116.0,90.0,top
D8,142.5,-116.0,90.0,top
J1,118.0,-104.0,90.0,top
J2,150.81,-104.0,90.0,top
R1,113.0,-108.75,270.0,top
R14,120.5,-108.75,90.0,top
R15,125.5,-108.75,90.0,top
R16,128.0,-108.75,90.0,top
R17,152.0,-108.75,90.0,top
R2,118.0,-108.75,270.0,top
R3,123.0,-108.75,270.0,top
R4,147.0,-108.75,270.0,top
R5,149.5,-108.75,270.0,top
R6,154.5,-108.75,270.0,top
R7,157.0,-108.75,270.0,top
R8,159.5,-108.75,270.0,top
R9,115.5,-108.75,90.0,top
SW1,126.0,-132.0,90.0,top
SW2,134.0,-132.0,90.0,top
SW3,142.0,-132.0,90.0,top
SW4,150.0,-132.0,90.0,top
SW6,118.0,-132.0,90.0,top
